"Pojemność: 1000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 5400 obr./min",,,"219,00 zł","Ocena 4,33",https:/www.x-kom.pl/p/367205-dysk-hdd-wd-1tb-intellipower-64mb-purple.html
"Pojemność: 1000 GB, Interfejs: SATA III, Format: 2.5"", Prędkość obr.: 5400 obr./min",,,"195,00 zł","Ocena 6,00",https:/www.x-kom.pl/p/387070-dysk-hdd-hitachi-1tb-travelstar-z5k1000-7mm-5400obr.html
"Pojemność: 2000 GB, Interfejs: SATA III, Format: 2.5"", Prędkość obr.: 5400 obr./min",,,"425,00 zł","Ocena 6,00",https:/www.x-kom.pl/p/339129-dysk-hdd-seagate-2tb-5400obr-128mb-25-sshd-firecuda.html
"Pojemność: 2000 GB, Interfejs: SATA III, Format: 2.5"", Prędkość obr.: 5400 obr./min",,,"365,00 zł","Ocena 6,00",https:/www.x-kom.pl/p/338375-dysk-hdd-seagate-2tb-25-5400obr-128mb-barracuda.html
"Pojemność: 2000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"548,00 zł","Ocena 6,00",https:/www.x-kom.pl/p/159700-dysk-hdd-wd-2tb-7200obr-64mb-black.html
"Pojemność: 1000 GB, Interfejs: SATA III, Format: 2.5"", Prędkość obr.: 5400 obr./min",,,"199,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/430678-dysk-hdd-toshiba-1tb-5400obr-128mb-l200-mobile-7mm-oem.html
"Pojemność: 6000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 5400 obr./min",,,"799,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/367209-dysk-hdd-wd-6tb-intellipower-64mb-purple.html
"Pojemność: 3000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 5900 obr./min",,,"445,00 zł","Ocena 5,67",https:/www.x-kom.pl/p/337229-dysk-hdd-seagate-3tb-5900obr-64mb-ironwolf.html
"Pojemność: 6000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 5760 obr./min",,,"1 949,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/236487-dysk-hdd-wd-6tb-5760obr-128mb-re.html
"Pojemność: 5000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 5760 obr./min",,,"1 835,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/236485-dysk-hdd-wd-5tb-5760obr-128mb-re.html
"Pojemność: 6000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 5760 obr./min",,,"1 175,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/236484-dysk-hdd-wd-6tb-5760obr-64mb-ae.html
"Pojemność: 1000 GB, Interfejs: SATA II - 1 szt., Format: 2.5"", Prędkość obr.: 5400 obr./min",,,"189,00 zł","Ocena 4,60",https:/www.x-kom.pl/p/232297-dysk-hdd-wd-1tb-5400obr-8mb-box.html
"Pojemność: 6000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"1 955,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/231802-dysk-hdd-wd-6tb-7200obr-128mb-re.html
"Pojemność: 6000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"889,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/231801-dysk-hdd-wd-6tb-7200obr-128mb-se.html
"Pojemność: 5000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"1 835,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/231800-dysk-hdd-wd-5tb-7200obr-128mb-re.html
"Pojemność: 5000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"669,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/231799-dysk-hdd-wd-5tb-7200obr-128mb-se.html
"Pojemność: 3000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"335,00 zł","Ocena 5,00",https:/www.x-kom.pl/p/229306-dysk-hdd-toshiba-3tb-7200obr-64mb.html
"Pojemność: 4000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"715,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/216852-dysk-hdd-seagate-4tb-7200obr-64mb.html
"Pojemność: 2000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: IntelliPower",,,"249,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/216789-dysk-hdd-wd-2tb-desktop-mainstream.html
"Pojemność: 3000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"859,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/204013-dysk-hdd-wd-3tb-7200obr-64mb-red-pro.html
"Pojemność: 4000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"989,00 zł","Ocena 6,00",https:/www.x-kom.pl/p/159702-dysk-hdd-wd-4tb-7200obr-64mb-black.html
"Pojemność: 500 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"315,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/156018-dysk-hdd-wd-500gb-7200obr-64mb-re.html
"Pojemność: 3000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: IntelliPower",,,"475,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/152831-dysk-hdd-wd-3tb-intellipower-64mb-av-gp.html
"Pojemność: 2000 GB, Interfejs: SATA III, Format: 2.5"", Prędkość obr.: 7200 obr./min",,,"529,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/152387-dysk-hdd-wd-2tb-7200obr-8mb-15mm.html
"Pojemność: 750 GB, Interfejs: SATA III, Format: 2.5"", Prędkość obr.: 7200 obr./min",,,"265,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/152384-dysk-hdd-wd-750gb-7200obr-16mb.html
"Pojemność: 250 GB, Interfejs: SATA III, Format: 2.5"", Prędkość obr.: 7200 obr./min",,,"229,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/152381-dysk-hdd-wd-250gb-7200obr-16mb.html
"Pojemność: 1000 GB, Interfejs: SATA III, Format: 2.5"", Prędkość obr.: 5400 obr./min",,,"215,00 zł","Ocena 5,00",https:/www.x-kom.pl/p/138014-dysk-hdd-wd-1tb-5400obr-8mb.html
"Pojemność: 1000 GB, Interfejs: SATA II - 1 szt., Format: 2.5"", Prędkość obr.: 5400 obr./min",,,"315,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/105783-dysk-hdd-wd-1tb-5400obr-16mb-av-25.html
"Pojemność: 500 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"299,00 zł","Ocena 6,00",https:/www.x-kom.pl/p/81767-dysk-hdd-wd-500gb-7200obr-64mb-black.html
"Pojemność: 750 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"269,00 zł","Ocena 6,00",https:/www.x-kom.pl/p/81295-dysk-hdd-wd-750gb-7200obr-64mb-blue.html
"Pojemność: 1000 GB, Interfejs: SATA III, Prędkość obr.: IntelliPower, Cache: 64 MB",,,"245,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/74998-dysk-hdd-wd-1tb-intellipower-64mb-av-gp.html
"Pojemność: 1000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"335,00 zł","Ocena 5,45",https:/www.x-kom.pl/p/159699-dysk-hdd-wd-1tb-7200obr-64mb-black.html
"Pojemność: 2000 GB, Interfejs: SATA III, Format: 2.5"", Prędkość obr.: 5400 obr./min",,,"379,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/417513-dysk-hdd-wd-2tb-5400obr-128mb-blue-7mm.html
"Pojemność: 4000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 5400 obr./min",,,"459,00 zł","Ocena 6,00",https:/www.x-kom.pl/p/399469-dysk-hdd-seagate-4tb-5400obr-256mb-barracuda.html
"Pojemność: 3000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość odczytu: 180 MB/s",,,"399,00 zł","Ocena 6,00",https:/www.x-kom.pl/p/337150-dysk-hdd-seagate-3tb-64mb-skyhawk.html
"Pojemność: 2000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"435,00 zł","Ocena 6,00",https:/www.x-kom.pl/p/320821-dysk-hdd-seagate-2tb-7200obr-64mb-sshd-firecuda.html
"Pojemność: 8000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"1 055,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/337219-dysk-hdd-seagate-8tb-7200obr-256mb-ironwolf.html
"Pojemność: 6000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość odczytu: 195 MB/s",,,"759,00 zł","Ocena 6,00",https:/www.x-kom.pl/p/337174-dysk-hdd-seagate-6tb-256mb-skyhawk.html
"Pojemność: 4000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 5400 obr./min",,,"459,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/254256-dysk-hdd-wd-4tb-5400obr-64mb-blue.html
"Pojemność: 4000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"815,00 zł","Ocena 3,00",https:/www.x-kom.pl/p/429587-dysk-hdd-wd-4tb-7200obr-256mb-black.html
"Pojemność: 4000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"779,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/424242-dysk-hdd-wd-4tb-7200obr-256mb-red-pro.html
"Pojemność: 6000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"819,00 zł","Ocena 6,00",https:/www.x-kom.pl/p/409112-dysk-hdd-seagate-6tb-7200obr-256mb-ironwolf.html
"Pojemność: 4000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"529,00 zł","Ocena 4,00",https:/www.x-kom.pl/p/341408-dysk-hdd-toshiba-4tb-7200obr-128mb-x300-oem.html
"Pojemność: 8000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 5400 obr./min",,,"1 139,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/429345-dysk-hdd-wd-8tb-256mb-red-nas.html
"Pojemność: 1000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"215,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/335485-dysk-hdd-seagate-1tb-64mb-skyhawk.html
"Pojemność: 2000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"555,00 zł","Ocena 6,00",https:/www.x-kom.pl/p/314398-dysk-hdd-wd-2tb-7200obr-64mb-red-pro.html
"Pojemność: 1000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 5900 obr./min",,,"259,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/337232-dysk-hdd-seagate-1tb-5900obr-64mb-ironwolf.html
"Pojemność: 1000 GB, Interfejs: SATA III, Format: 2.5"", Prędkość obr.: 5400 obr./min",,,"279,00 zł","Ocena 6,00",https:/www.x-kom.pl/p/339128-dysk-hdd-seagate-1tb-5400obr-128mb-25-sshd-firecuda.html
"Pojemność: 8000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 5400 obr./min",,,"1 039,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/367210-dysk-hdd-wd-8tb-5400obr-128mb-purple.html
"Pojemność: 3000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 5400 obr./min",,,"425,00 zł","Ocena 6,00",https:/www.x-kom.pl/p/367207-dysk-hdd-wd-3tb-intellipower-64mb-purple.html
"Pojemność: 2000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość odczytu: 180 MB/s",,,"299,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/337147-dysk-hdd-seagate-2tb-64mb-skyhawk.html
"Pojemność: 500 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"165,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/323218-dysk-hdd-toshiba-500gb-7200obr-64mb-p300-oem.html
"Pojemność: 1000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 5400 obr./min",,,"185,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/254253-dysk-hdd-wd-1tb-5400obr-64mb-blue.html
"Pojemność: 500 GB, Interfejs: SATA III, Format: 2.5"", Prędkość obr.: 7200 obr./min",,,"195,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/387074-dysk-hdd-hitachi-500gb-travelstar-z7k500b-7mm-7200obr.html
"Pojemność: 1000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"355,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/468758-dysk-hdd-wd-western-digital-ultrastar-1tb.html
"Pojemność: 500 GB, Interfejs: SATA III, Format: 2.5"", Prędkość obr.: 7200 obr./min",,,"245,00 zł","Ocena 6,00",https:/www.x-kom.pl/p/220271-dysk-hdd-wd-500gb-7200obr-32mb-black.html
"Pojemność: 3000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 5400 obr./min",,,"379,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/434505-dysk-hdd-seagate-3tb-5400obr-256mb-barracuda.html
"Pojemność: 2000 GB, Interfejs: SATA III, Format: 2.5"", Prędkość obr.: 5400 obr./min",,,"355,00 zł","Ocena 6,00",https:/www.x-kom.pl/p/430680-dysk-hdd-toshiba-2tb-5400obr-128mb-l200-mobile.html
"Pojemność: 10000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"1 649,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/339140-dysk-hdd-seagate-10tb-7200obr-256mb-ironwolf-pro.html
"Pojemność: 500 GB, Interfejs: SATA III, Format: 2.5"", Prędkość obr.: 5400 obr./min",,,"215,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/339127-dysk-hdd-seagate-500gb-5400obr-128mb-25-sshd-firecuda.html
"Pojemność: 500 GB, Interfejs: SATA III, Format: 2.5"", Prędkość obr.: 5400 obr./min",,,"169,00 zł","Ocena 4,71",https:/www.x-kom.pl/p/216853-dysk-hdd-hitachi-500gb-5400obr-8mb-travelstar-z5k5-7mm.html
"Pojemność: 8000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"1 145,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/361766-dysk-hdd-toshiba-8tb-7200obr-128mb-n300-nas.html
"Pojemność: 8000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"1 139,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/361764-dysk-hdd-toshiba-8tb-7200obr-128mb-n300-nas-oem.html
"Pojemność: 6000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"837,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/348922-dysk-hdd-toshiba-6tb-7200obr-128mb-n300-nas.html
"Pojemność: 1000 GB, Interfejs: SATA III, Format: 2.5"", Prędkość obr.: 5400 obr./min",,,"329,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/343932-dysk-hdd-toshiba-1tb-5400obr-64mb-sshd-h200.html
"Pojemność: 6000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"1 109,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/342747-dysk-hdd-wd-6tb-7200obr-128mb-black.html
"Pojemność: 600 GB, Interfejs: SAS - 1 szt., Format: 2.5"", Prędkość obr.: 15000 obr./min",,,"1 969,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/341217-dysk-hdd-seagate-600gb-15000obr-128mb-enterprise-sas.html
"Pojemność: 8000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"1 309,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/339139-dysk-hdd-seagate-8tb-7200obr-256mb-ironwolf-pro.html
"Pojemność: 6000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"999,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/339137-dysk-hdd-seagate-6tb-7200obr-256mb-ironwolf-pro.html
"Pojemność: 6000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"829,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/337226-dysk-hdd-seagate-6tb-7200obr-128mb-ironwolf.html
"Pojemność: 7000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"1 279,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/337222-dysk-hdd-seagate-7tb-7200obr-256mb-ironwolf.html
"Pojemność: 500 GB, Interfejs: SATA III, Format: 2.5"", Prędkość obr.: 5400 obr./min",,,"177,00 zł","Ocena 5,50",https:/www.x-kom.pl/p/322599-dysk-hdd-hitachi-500gb-5400obr-16mb-travelstar-z5k500b-7mm.html
"Pojemność: 4000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"835,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/320833-dysk-hdd-wd-4tb-7200obr-128mb-black.html
"Pojemność: 2000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"605,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/317672-dysk-hdd-wd-2tb-7200obr-128mb-re.html
"Pojemność: 4000 GB, Interfejs: SATA III, Format: 2.5"", Prędkość obr.: 5400 obr./min",,,"935,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/301030-dysk-hdd-seagate-4tb-5400obr-128mb.html
"Pojemność: 8000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 5400 obr./min",,,"1 199,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/294037-dysk-hdd-wd-8tb-5400obr-128mb-purple.html
"Pojemność: 6000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"1 015,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/293485-dysk-hdd-wd-6tb-7200obr-128mb-red-pro-nas.html
"Pojemność: 6000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"2 045,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/264309-dysk-hdd-wd-6tb-7200obr-128mb-re.html
"Pojemność: 4000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"679,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/262669-dysk-hdd-toshiba-4tb-7200obr-64mb-nearline.html
"Pojemność: 3000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"599,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/262668-dysk-hdd-toshiba-3tb-7200obr-64mb-nearline.html
"Pojemność: 1000 GB, Interfejs: SATA III, Format: 2.5"", Prędkość obr.: 5400 obr./min",,,"205,00 zł","Ocena 5,50",https:/www.x-kom.pl/p/258495-dysk-hdd-toshiba-1tb-5400obr-8mb-l200.html
"Pojemność: 4000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"539,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/258397-dysk-hdd-toshiba-4tb-7200obr-128mb-x300.html
"Pojemność: 4000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"755,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/257465-dysk-hdd-hitachi-internal-drive-kit-4tb-35-7200obr.html
"Pojemność: 3000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 5940 obr./min",,,"329,00 zł","Ocena 6,00",https:/www.x-kom.pl/p/256544-dysk-hdd-toshiba-3tb-5940obr-64mb-e300.html
"Pojemność: 2000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 5700 obr./min",,,"259,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/256542-dysk-hdd-toshiba-2tb-5700obr-64mb-e300.html
"Pojemność: 6000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"1 079,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/256110-dysk-hdd-seagate-6tb-7200obr-128mb.html
"Pojemność: 5000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"575,00 zł","Ocena 5,00",https:/www.x-kom.pl/p/256109-dysk-hdd-seagate-5tb-7200obr-128mb.html
"Pojemność: 5000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 5900 obr./min",,,"725,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/255466-dysk-hdd-seagate-5tb-5900obr-128mb-archive.html
"Pojemność: 5000 GB, Interfejs: SATA III, Format: 3.5"", Prędkość obr.: 7200 obr./min",,,"1 209,00 zł",Ten produkt czeka na Twoją opinię,https:/www.x-kom.pl/p/255463-dysk-hdd-wd-5tb-7200obr-128mb-red-pro.html
